Id,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Area
109,725.0,725,1479,475.0
544,913.0,913,2122,559.0
153,1057.0,1057,1057,246.0
318,384.0,744,1444,400.0
255,676.0,831,1445,484.0
138,1517.0,1888,1888,578.0
2827,547.0,1072,1072,525.0
145,1188.0,1188,1188,531.0
1942,924.0,924,924,420.0
1956,1040.0,1040,2080,504.0
1044,483.0,483,987,264.0
2752,1208.0,1208,1208,632.0
807,0.0,1288,2016,576.0
1177,960.0,962,1607,480.0
1480,1351.0,1361,1361,610.0
324,1430.0,1430,1430,624.0
1311,624.0,624,1344,513.0
770,1121.0,1121,1121,480.0
2063,660.0,1285,1285,528.0
69,756.0,764,1547,614.0
2062,894.0,894,894,450.0
351,1501.0,1659,1659,499.0
2393,1209.0,1209,2253,575.0
12,1168.0,1187,1187,420.0
2339,1056.0,1056,1056,572.0
624,1453.0,1453,1453,530.0
86,894.0,894,894,336.0
1534,942.0,1265,1938,240.0
2243,957.0,1034,1991,0.0
1957,672.0,672,924,576.0
380,2524.0,2524,2524,542.0
2860,792.0,792,1517,400.0
2517,1494.0,1494,1494,481.0
1933,948.0,948,948,410.0
820,1705.0,1718,1718,826.0
675,160.0,1142,1142,384.0
2910,757.0,925,1475,336.0
21,1844.0,1844,1844,546.0
1873,1242.0,1242,1242,528.0
2125,990.0,990,990,384.0
1489,1256.0,1256,1256,276.0
2383,2076.0,2076,2076,850.0
983,1097.0,1110,1110,602.0
1325,1050.0,1050,1795,352.0
1378,1040.0,1040,1040,384.0
1537,608.0,983,1873,786.0
905,984.0,984,1604,660.0
1532,776.0,851,1502,270.0
132,1056.0,1063,1063,280.0
1078,764.0,764,1626,474.0
2511,756.0,768,1524,440.0
912,1122.0,1328,1981,576.0
2351,1392.0,1392,2784,564.0
330,546.0,546,1092,0.0
2586,216.0,1575,1575,400.0
224,663.0,663,1352,299.0
98,600.0,600,1200,480.0
2565,936.0,936,936,240.0
1934,1040.0,1040,1040,293.0
997,916.0,916,1636,386.0
64,1152.0,1164,2270,671.0
1799,1184.0,1184,2610,550.0
230,1420.0,1483,1483,690.0
1295,936.0,960,1740,225.0
638,1382.0,1382,1382,350.0
2278,1120.0,1120,1120,0.0
2202,531.0,567,1098,216.0
2833,976.0,976,1708,380.0
1707,1802.0,1802,1802,843.0
2428,1362.0,1506,1506,440.0
242,1508.0,1508,1508,572.0
1564,1840.0,2032,2032,786.0
2613,655.0,1194,1194,539.0
2832,970.0,970,1709,380.0
2459,1616.0,1616,1616,834.0
1360,768.0,768,768,440.0
2723,872.0,872,872,322.0
1350,520.0,520,520,240.0
136,1105.0,1105,2274,480.0
2235,936.0,936,1601,0.0
1993,616.0,616,1232,480.0
367,2216.0,2234,2234,1166.0
1309,876.0,876,1416,720.0
402,864.0,864,864,576.0
1592,1189.0,1189,1189,392.0
2409,1666.0,1666,1666,575.0
539,1176.0,1200,1200,555.0
1940,928.0,928,928,252.0
588,1288.0,1336,1336,502.0
96,600.0,600,1200,480.0
1187,1427.0,1427,1427,516.0
2154,860.0,1212,1992,608.0
550,754.0,754,1540,495.0
811,0.0,1535,1535,400.0
124,1152.0,1152,1152,484.0
1836,1141.0,1151,1151,484.0
779,1138.0,1138,1138,480.0
1886,894.0,1074,1074,396.0
1724,1561.0,1561,1561,556.0
2450,1342.0,1358,2726,725.0
1013,1884.0,1884,1884,670.0
2084,528.0,605,605,0.0
1184,1426.0,1671,1671,550.0
728,245.0,797,797,0.0
950,804.0,804,1961,560.0
2524,1153.0,1193,1193,501.0
2513,673.0,673,1382,490.0
2028,714.0,1664,2526,216.0
2309,1705.0,1390,1390,550.0
51,764.0,764,1626,474.0
699,690.0,868,1558,400.0
1881,978.0,1422,1422,286.0
1345,1078.0,1128,1573,360.0
166,1116.0,1116,1116,440.0
781,0.0,660,660,0.0
379,1140.0,1707,1707,479.0
2818,1466.0,1466,1466,528.0
1168,1614.0,1638,1638,495.0
1396,988.0,1721,1721,626.0
838,928.0,928,1764,470.0
1492,996.0,996,996,0.0
637,1202.0,1202,1202,304.0
1826,988.0,988,988,572.0
173,1008.0,1028,1028,360.0
715,720.0,720,1284,240.0
1183,994.0,1599,2944,864.0
2433,707.0,707,1414,403.0
2866,637.0,959,1609,579.0
2311,813.0,813,1525,400.0
1551,624.0,1092,1656,288.0
1049,1055.0,1055,1055,440.0
657,676.0,676,1352,720.0
414,855.0,855,1456,440.0
1181,1719.0,1719,1719,473.0
1514,864.0,864,864,0.0
1040,483.0,483,987,264.0
216,780.0,780,1020,0.0
1720,1554.0,1554,1554,627.0
2331,1528.0,1528,3390,758.0
204,780.0,780,1560,0.0
19,864.0,864,864,400.0
2438,982.0,1008,1889,431.0
89,1040.0,1040,1040,260.0
240,1172.0,1172,1172,366.0
105,1642.0,1418,1418,852.0
2020,884.0,959,1367,560.0
888,0.0,495,1922,672.0
1019,1422.0,1422,1422,576.0
2132,985.0,985,1842,486.0
203,888.0,888,1962,572.0
420,864.0,1120,1120,656.0
2333,1992.0,1992,2868,716.0
632,1478.0,1478,1478,442.0
2800,930.0,950,1995,610.0
1885,912.0,912,912,297.0
1734,1326.0,1326,1326,388.0
2327,1191.0,1204,1204,461.0
1282,780.0,798,1611,442.0
2688,960.0,960,960,576.0
2581,1070.0,1236,1236,447.0
2067,816.0,1416,1416,576.0
2115,929.0,946,1873,619.0
754,1040.0,1088,2128,0.0
1079,764.0,764,1626,474.0
2615,816.0,816,816,308.0
329,536.0,536,1112,336.0
1320,572.0,572,1111,288.0
416,855.0,855,1441,440.0
284,672.0,672,924,280.0
1385,1060.0,1126,1126,506.0
275,381.0,992,992,319.0
2024,768.0,752,1376,576.0
68,1218.0,1218,1218,676.0
1910,728.0,888,1644,312.0
381,1271.0,1601,1601,478.0
1323,1313.0,1313,2495,342.0
2432,783.0,807,1509,393.0
777,1092.0,1092,1092,288.0
1107,1311.0,1325,2418,983.0
30,483.0,483,987,264.0
282,1121.0,1121,1121,440.0
188,912.0,1236,1236,923.0
2356,1056.0,1074,1074,495.0
1554,0.0,733,733,487.0
1464,884.0,884,1768,543.0
2469,1257.0,1266,1266,453.0
1834,1683.0,2129,2872,541.0
1779,1485.0,1464,1464,754.0
2569,924.0,1216,2157,487.0
2334,1234.0,1264,2576,666.0
2330,1398.0,1414,2798,670.0
2119,966.0,1743,1743,529.0
988,1567.0,1567,1567,714.0
382,1090.0,1370,1370,479.0
670,1248.0,1338,2634,968.0
2760,1570.0,1590,1590,754.0
543,1450.0,1450,1450,788.0
2835,832.0,846,1338,528.0
1735,728.0,728,1456,400.0
448,2392.0,2392,2392,968.0
2287,530.0,530,992,297.0
524,1017.0,1026,2007,812.0
1767,1066.0,1108,2385,600.0
2206,918.0,918,1646,240.0
1740,728.0,728,1456,400.0
199,528.0,548,1040,624.0
2214,1370.0,1370,2624,864.0
323,1068.0,1264,1264,528.0
2421,1374.0,1557,1557,420.0
952,957.0,1287,1287,541.0
24,1004.0,1004,1004,480.0
1139,1162.0,1162,1162,483.0
518,1436.0,1436,1436,529.0
1390,960.0,960,960,300.0
277,1196.0,1196,1196,336.0
54,1256.0,1269,1269,430.0
649,1031.0,1031,1031,230.0
2600,448.0,448,720,280.0
617,1505.0,1505,1505,505.0
2209,920.0,954,954,240.0
2814,750.0,750,1500,564.0
2542,1050.0,1050,1050,368.0
2323,2062.0,2079,2687,618.0
1393,1602.0,1252,1252,564.0
490,384.0,774,1430,400.0
542,1114.0,1114,1114,576.0
973,1224.0,1224,1224,402.0
1012,1122.0,1134,2504,656.0
2218,728.0,760,1355,528.0
2033,741.0,1497,2294,658.0
1071,1702.0,1702,1702,1052.0
1583,1461.0,1509,1509,600.0
2858,756.0,961,1717,642.0
2265,1265.0,1240,1240,528.0
1088,856.0,1166,1166,400.0
698,504.0,764,1464,0.0
1896,1592.0,1652,1652,510.0
628,896.0,1182,2142,509.0
1212,1092.0,1092,1092,504.0
2864,1022.0,1122,1671,451.0
2740,0.0,1488,1488,569.0
2560,1444.0,1624,1624,240.0
1716,1362.0,1362,1362,460.0
1130,1218.0,1218,1218,462.0
201,1124.0,1068,1068,288.0
2886,1625.0,1625,1625,576.0
2328,1064.0,1064,1767,504.0
2583,1050.0,1050,1050,286.0
1206,907.0,907,907,352.0
2242,0.0,640,845,256.0
1105,1242.0,1251,2501,751.0
121,1209.0,1209,1209,504.0
1223,348.0,453,906,231.0
265,1581.0,1601,1601,670.0
2813,1336.0,1336,1336,502.0
1294,801.0,1095,1656,440.0
2745,0.0,1124,1124,0.0
1094,982.0,1008,1892,431.0
651,978.0,1014,1699,420.0
198,780.0,780,1416,312.0
131,728.0,1306,1306,0.0
1258,672.0,672,672,308.0
1599,1113.0,1160,1160,257.0
1508,911.0,930,930,286.0
615,420.0,708,708,0.0
1815,1575.0,1575,1575,529.0
2712,1059.0,1059,1059,286.0
2051,1005.0,1005,1005,440.0
1863,1057.0,1057,1929,650.0
2510,600.0,520,1200,480.0
1069,1765.0,1804,2690,795.0
336,833.0,833,833,495.0
2417,728.0,728,1456,429.0
1962,864.0,864,864,720.0
372,1362.0,1586,1586,435.0
2578,1058.0,1370,1370,300.0
2824,914.0,914,914,0.0
471,1373.0,1555,1555,430.0
1544,716.0,716,1556,452.0
2141,882.0,882,882,461.0
2008,915.0,1167,1167,495.0
1075,1800.0,1800,1800,944.0
34,855.0,855,1456,440.0
847,831.0,831,1660,493.0
1629,384.0,812,1482,392.0
2073,1190.0,1522,1522,552.0
960,2190.0,2036,2036,780.0
955,1582.0,1595,1595,672.0
2476,891.0,891,1686,462.0
1590,1344.0,1344,1344,784.0
2913,1652.0,1652,1652,928.0
149,832.0,832,1337,263.0
2525,570.0,1222,1920,487.0
1470,848.0,848,848,420.0
412,1057.0,1055,1055,440.0
1399,1291.0,1291,1291,431.0
183,624.0,720,720,484.0
974,462.0,526,988,297.0
930,1067.0,986,1523,295.0
881,864.0,864,1728,572.0
1180,1230.0,1239,1239,477.0
1553,1151.0,1151,1955,356.0
928,704.0,860,1564,234.0
1512,416.0,1204,1204,312.0
3,1329.0,1329,1329,312.0
2140,864.0,879,879,440.0
553,721.0,841,841,294.0
2594,784.0,900,1312,649.0
1314,735.0,1134,2058,396.0
366,1220.0,1360,1360,565.0
1462,1778.0,1786,1786,715.0
2541,825.0,1097,1993,495.0
2088,951.0,986,1362,280.0
527,1092.0,1112,1550,438.0
1824,1140.0,1696,1696,349.0
2918,546.0,546,1092,286.0
49,1752.0,1752,1752,576.0
2332,1094.0,1102,2473,675.0
826,1800.0,1800,1800,702.0
1108,1080.0,1108,2197,783.0
2041,720.0,854,1382,660.0
57,847.0,847,1733,433.0
520,1402.0,1402,1402,625.0
2305,864.0,887,887,288.0
2533,1051.0,1051,1051,504.0
2852,755.0,755,1510,216.0
1198,1656.0,1656,1656,506.0
1681,1078.0,958,958,440.0
1773,3200.0,3228,3228,546.0
1825,1040.0,1040,1040,686.0
2208,661.0,661,1250,552.0
1646,585.0,1140,1868,477.0
1060,1620.0,1632,2790,1150.0
748,844.0,1445,2134,441.0
2846,686.0,948,1928,0.0
493,992.0,1022,2060,390.0
694,901.0,861,1378,162.0
2283,1249.0,1622,1622,1356.0
1800,955.0,955,1880,880.0
1632,1074.0,1088,1088,461.0
2624,1040.0,1040,1040,286.0
2197,602.0,900,1502,180.0
1045,483.0,483,987,264.0
2549,588.0,1095,1095,264.0
2829,970.0,970,1709,380.0
2480,836.0,844,1731,462.0
2724,648.0,960,960,364.0
2352,713.0,811,1552,434.0
1783,1795.0,1795,1795,895.0
338,624.0,624,1274,576.0
196,572.0,848,1196,576.0
762,560.0,704,704,220.0
151,972.0,972,972,305.0
158,912.0,912,1458,330.0
2572,1008.0,1008,1008,430.0
1686,1822.0,1828,1828,774.0
943,1013.0,1013,1526,0.0
735,698.0,786,1176,624.0
2741,1057.0,1057,1057,288.0
1106,2109.0,2113,2113,839.0
2375,943.0,1387,1387,300.0
1701,1704.0,1722,2758,814.0
2657,798.0,840,840,250.0
907,793.0,848,1520,281.0
1777,1542.0,1542,1542,852.0
164,910.0,910,1385,720.0
1973,896.0,936,936,288.0
2857,824.0,824,1288,240.0
1208,1120.0,1128,1128,525.0
319,774.0,774,1968,680.0
2567,1246.0,1246,1246,441.0
2222,800.0,960,1740,240.0
2493,925.0,925,925,484.0
1757,384.0,774,1430,400.0
184,930.0,930,1566,288.0
1248,984.0,950,950,400.0
2574,1144.0,1144,1144,796.0
1215,1114.0,1114,1114,451.0
1614,2223.0,2223,2223,516.0
2039,530.0,581,1111,288.0
2669,960.0,960,960,624.0
1005,932.0,932,1633,460.0
753,755.0,929,2229,0.0
1275,936.0,984,984,280.0
2350,1686.0,1686,1686,612.0
2762,1614.0,1614,1614,576.0
2788,864.0,864,864,297.0
2384,1721.0,1740,1740,874.0
2716,1461.0,1721,1721,440.0
313,1012.0,1034,1034,888.0
84,0.0,1318,1902,539.0
81,1040.0,1097,1097,480.0
2389,1090.0,1117,2206,670.0
280,1029.0,1117,1117,672.0
190,777.0,1246,2290,560.0
2371,483.0,483,948,264.0
213,600.0,600,919,231.0
1864,912.0,1152,1152,412.0
37,1590.0,1627,2334,751.0
146,1268.0,1264,1264,461.0
809,1086.0,1224,1224,528.0
767,672.0,697,1369,300.0
262,894.0,894,894,308.0
101,756.0,769,1573,440.0
48,1671.0,1687,2250,756.0
489,794.0,819,1514,394.0
2369,672.0,672,1218,0.0
707,811.0,811,1387,256.0
1556,649.0,649,1317,250.0
2034,684.0,773,1355,0.0
308,756.0,952,952,330.0
2176,1143.0,1113,1113,504.0
1549,740.0,778,778,924.0
909,778.0,944,1489,240.0
892,1698.0,1698,1698,768.0
2045,1005.0,1262,2267,498.0
2927,864.0,902,902,484.0
1732,738.0,738,1495,440.0
998,1348.0,1384,1384,404.0
2203,585.0,851,1436,228.0
356,952.0,952,1636,440.0
2475,1158.0,1158,1158,576.0
2264,1638.0,1646,1646,870.0
2201,731.0,981,1768,240.0
2545,1187.0,1565,1565,299.0
2660,880.0,880,1768,320.0
2882,660.0,1060,1396,0.0
1379,1008.0,1096,1096,484.0
491,1177.0,1223,2312,658.0
1002,1337.0,1337,1337,462.0
1848,551.0,551,1102,480.0
1455,1128.0,1128,2031,577.0
908,290.0,438,438,246.0
1490,456.0,1033,1033,504.0
1465,1129.0,1129,2327,596.0
1627,1168.0,1187,1187,420.0
2849,780.0,816,1340,440.0
1501,0.0,1152,1152,0.0
626,1562.0,1567,1567,542.0
722,650.0,832,1482,324.0
2260,1689.0,1689,1689,433.0
1639,1100.0,1424,1424,828.0
1603,816.0,816,816,264.0
1520,1228.0,1424,1424,312.0
1665,725.0,725,1479,484.0
2635,1025.0,1025,1025,0.0
581,1442.0,1442,1442,615.0
2435,1406.0,1454,1936,504.0
2799,1054.0,1070,1939,555.0
883,738.0,738,1476,540.0
2537,833.0,898,898,326.0
1120,1460.0,1460,1460,480.0
774,456.0,1034,1034,504.0
1447,864.0,1174,1174,528.0
104,530.0,530,1080,496.0
2694,780.0,780,1376,198.0
920,840.0,840,1567,440.0
1951,736.0,751,1534,0.0
9,1595.0,1616,1616,608.0
2848,1058.0,1058,1551,240.0
614,960.0,960,960,330.0
1736,1302.0,1302,1302,436.0
2686,816.0,816,816,210.0
2257,1502.0,1502,1502,286.0
1284,192.0,1133,1133,308.0
1765,1408.0,1671,3078,806.0
1811,928.0,936,1721,471.0
2603,1077.0,981,1760,648.0
2220,1028.0,1436,2320,180.0
2273,1122.0,1146,2486,452.0
163,1246.0,1246,1246,305.0
2116,1444.0,1444,2144,389.0
2734,799.0,799,1150,215.0
426,1566.0,1600,1600,890.0
2216,930.0,1230,1755,231.0
2900,1800.0,1800,1800,765.0
97,600.0,600,1200,480.0
1680,765.0,765,1365,440.0
1133,835.0,835,1696,542.0
2761,945.0,945,1809,638.0
1642,2220.0,2234,2234,724.0
1141,886.0,886,1680,474.0
2118,832.0,976,2087,444.0
870,1462.0,1513,1513,521.0
1875,949.0,1107,1107,308.0
155,0.0,827,827,392.0
1318,742.0,742,1484,0.0
1285,680.0,764,764,504.0
2400,1792.0,1792,1792,874.0
1068,1479.0,1515,2649,746.0
361,808.0,808,1593,389.0
1493,1138.0,1181,1181,588.0
1110,1986.0,1987,1987,691.0
911,583.0,647,1242,180.0
2535,976.0,976,976,504.0
2030,969.0,969,1214,216.0
2634,864.0,864,864,336.0
1530,1064.0,1166,1639,240.0
435,1736.0,1736,1736,834.0
812,0.0,1535,1535,400.0
1202,800.0,800,1632,484.0
666,630.0,725,725,320.0
1751,840.0,840,1720,440.0
705,936.0,936,936,576.0
1744,1406.0,1589,1589,630.0
357,799.0,799,1571,380.0
2133,1453.0,1479,1479,558.0
989,784.0,784,1632,898.0
562,864.0,864,864,360.0
1054,1452.0,1476,2713,858.0
2850,624.0,743,1479,312.0
1082,1393.0,1576,1576,668.0
1440,1468.0,1479,1479,577.0
2006,756.0,916,1060,308.0
2082,0.0,943,943,308.0
2344,1204.0,1377,2183,786.0
248,1050.0,1062,1949,574.0
2276,1824.0,1824,1824,932.0
755,720.0,1146,1930,316.0
1178,970.0,1469,2393,846.0
2636,716.0,1007,2014,624.0
2077,484.0,1242,1242,336.0
2930,996.0,996,2000,650.0
737,780.0,825,1412,280.0
837,990.0,990,990,440.0
2086,1342.0,1342,1342,256.0
2385,1868.0,1868,1868,1085.0
189,622.0,741,1363,528.0
635,1240.0,1632,1632,338.0
432,1722.0,1728,2296,842.0
900,1678.0,1678,1678,0.0
966,1267.0,1296,1296,471.0
1612,1587.0,1587,1587,525.0
904,720.0,854,1298,256.0
2487,1728.0,1728,1728,504.0
1304,928.0,928,928,288.0
2112,879.0,879,1795,578.0
1244,1080.0,1080,1080,288.0
843,866.0,866,1779,546.0
2689,485.0,1001,1635,255.0
2753,1199.0,1220,1220,632.0
1169,1310.0,1310,1310,545.0
1376,644.0,808,1355,0.0
2503,1095.0,1166,2295,590.0
1987,1075.0,1156,1798,342.0
1190,1620.0,1620,1620,578.0
1930,1216.0,1216,1216,336.0
2677,896.0,896,1344,240.0
1256,747.0,747,1159,288.0
2484,1056.0,1056,1056,384.0
1253,832.0,832,1216,336.0
1337,862.0,950,1158,208.0
1788,1538.0,1538,1538,484.0
141,1143.0,1143,1143,308.0
1669,858.0,872,872,480.0
1366,319.0,1035,1406,0.0
52,1324.0,1324,1324,430.0
1380,876.0,904,904,408.0
919,1276.0,1276,2080,282.0
2804,848.0,848,848,420.0
782,1104.0,1104,1788,304.0
956,819.0,1344,1344,525.0
187,840.0,1128,2256,0.0
2074,1151.0,1164,2060,521.0
1039,1405.0,1337,1337,511.0
1210,1127.0,1165,1165,490.0
2710,1164.0,1320,1320,564.0
44,1517.0,1535,1535,532.0
1026,738.0,1277,2044,489.0
1343,704.0,624,1136,336.0
2248,1001.0,1299,1299,486.0
1849,776.0,764,1441,492.0
2076,1073.0,1630,1630,649.0
2641,728.0,832,1641,546.0
5,928.0,928,1629,482.0
878,848.0,848,848,420.0
1548,816.0,816,816,432.0
841,1097.0,1097,1097,672.0
1621,1494.0,1652,1652,499.0
218,1768.0,1768,1768,0.0
1504,0.0,1152,1152,0.0
946,0.0,810,810,280.0
455,1350.0,1358,1358,484.0
2906,1216.0,1216,1216,402.0
2878,967.0,967,1638,384.0
1173,600.0,624,1252,462.0
985,828.0,883,883,698.0
975,864.0,874,874,288.0
202,576.0,902,1710,480.0
528,1836.0,1836,1836,517.0
2579,1092.0,1092,1092,299.0
1841,1241.0,1241,1241,569.0
591,1350.0,1334,1334,630.0
1897,1144.0,1429,1429,572.0
70,1566.0,1566,1566,750.0
590,908.0,1316,2288,520.0
1172,1698.0,1709,1709,506.0
1714,1721.0,1721,1721,554.0
829,1254.0,1254,1254,810.0
1397,576.0,864,1350,627.0
877,1630.0,1630,1630,451.0
2477,784.0,831,1585,449.0
2871,1165.0,1336,1336,375.0
2489,864.0,1211,1211,576.0
1655,1259.0,1353,1353,478.0
1891,1174.0,1200,1200,440.0
1419,1475.0,1532,2329,514.0
1473,1536.0,1536,1536,532.0
2868,1073.0,1811,1811,470.0
1695,1063.0,1071,2172,947.0
2244,1073.0,1073,1073,720.0
169,756.0,1051,1839,442.0
2670,1020.0,1020,1020,0.0
247,946.0,964,1802,1017.0
2137,995.0,1009,1009,576.0
1794,1338.0,1338,1338,598.0
1498,0.0,3820,3820,624.0
1164,689.0,703,1392,540.0
1179,1260.0,1288,1288,500.0
1340,992.0,1013,1013,160.0
436,1782.0,1782,1782,932.0
1636,1922.0,1922,1922,676.0
421,1700.0,1718,1718,786.0
457,2492.0,2492,2492,949.0
2834,624.0,624,936,265.0
517,1218.0,1218,1218,676.0
1566,910.0,910,1820,816.0
1439,880.0,880,1724,527.0
2577,1121.0,1336,1336,488.0
2241,910.0,910,1558,282.0
71,991.0,991,1947,678.0
1143,832.0,832,1657,483.0
1021,2048.0,2064,2064,550.0
1416,1164.0,1164,1164,240.0
35,836.0,836,836,308.0
2904,0.0,1600,1600,270.0
2174,816.0,816,816,0.0
522,1766.0,1766,1766,478.0
2211,1001.0,1001,2002,871.0
1539,798.0,1137,1954,431.0
2420,1220.0,1364,1364,437.0
2779,916.0,920,1861,492.0
953,0.0,1302,1734,539.0
658,405.0,717,1039,281.0
714,677.0,833,1510,720.0
1637,1149.0,1164,2541,729.0
538,1512.0,1512,1512,845.0
546,1454.0,1434,1434,527.0
533,812.0,812,1653,628.0
718,917.0,1090,2007,357.0
1830,1037.0,1037,1037,431.0
2929,1389.0,1389,1389,418.0
2207,440.0,694,694,352.0
1417,572.0,572,1096,0.0
2787,894.0,894,894,552.0
1037,864.0,864,864,576.0
2659,1095.0,1095,1774,779.0
1567,1096.0,1118,1118,358.0
1225,1032.0,1032,1252,288.0
685,1148.0,1148,1148,672.0
1358,588.0,833,1666,228.0
1461,1357.0,1366,1947,725.0
221,912.0,912,912,336.0
2187,1195.0,1195,1195,0.0
2504,1624.0,1624,1624,757.0
855,914.0,914,914,444.0
2258,1350.0,1328,1328,308.0
2205,686.0,686,1461,225.0
1158,930.0,1364,2683,473.0
1741,1246.0,1258,1258,462.0
2735,896.0,1112,2008,230.0
1888,864.0,1187,1187,440.0
2121,990.0,990,990,299.0
1176,960.0,962,1586,480.0
2773,990.0,990,990,576.0
2619,1484.0,1600,1600,319.0
1796,896.0,896,1792,590.0
1598,462.0,526,988,297.0
1965,1170.0,1170,1170,338.0
2651,738.0,714,1376,216.0
609,1154.0,1154,1154,480.0
1990,725.0,909,1772,816.0
1053,2078.0,2084,2084,1220.0
2877,951.0,951,951,327.0
